127.0.0.1, 2017-02-25 07:10:07, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.071000
127.0.0.1, 2017-02-25 07:10:19, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.075000
127.0.0.1, 2017-02-25 07:10:21, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.070000
127.0.0.1, 2017-02-25 07:10:26, GET, /COL380, HTTP/1.1, 200, 0.141000
127.0.0.1, 2017-02-25 07:10:29, GET, /COL380/default/user/register, HTTP/1.1, 200, 0.101000
127.0.0.1, 2017-02-25 07:10:42, POST, /COL380/default/user/register, HTTP/1.1, 303, 0.540000
127.0.0.1, 2017-02-25 07:10:42, GET, /COL380/default/index, HTTP/1.1, 200, 0.080000
127.0.0.1, 2017-02-25 07:10:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.170000
127.0.0.1, 2017-02-25 07:10:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.264000
127.0.0.1, 2017-02-25 07:11:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047000
127.0.0.1, 2017-02-25 07:11:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.458000
127.0.0.1, 2017-02-25 07:11:53, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.066000
127.0.0.1, 2017-02-25 07:11:56, GET, /COL380/default/user/register, HTTP/1.1, 200, 0.120000
127.0.0.1, 2017-02-25 07:12:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111000
127.0.0.1, 2017-02-25 07:12:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.298000
127.0.0.1, 2017-02-25 07:12:56, POST, /COL380/default/user/register, HTTP/1.1, 303, 43.049000
127.0.0.1, 2017-02-25 07:12:56, GET, /COL380/default/index, HTTP/1.1, 200, 0.147000
127.0.0.1, 2017-02-25 07:13:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114000
127.0.0.1, 2017-02-25 07:13:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.240000
127.0.0.1, 2017-02-25 07:14:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.082000
127.0.0.1, 2017-02-25 07:14:52, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.528000
127.0.0.1, 2017-02-25 07:15:06, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-02-25 07:15:10, GET, /COL380/default/user/register, HTTP/1.1, 200, 0.085000
127.0.0.1, 2017-02-25 07:15:13, GET, /COL380/default/user/request_reset_password, HTTP/1.1, 200, 0.078000
127.0.0.1, 2017-02-25 07:15:16, POST, /COL380/default/user/request_reset_password, HTTP/1.1, 303, 0.333000
127.0.0.1, 2017-02-25 07:15:16, GET, /COL380/default/user/login, HTTP/1.1, 200, 0.085000
127.0.0.1, 2017-02-25 07:15:30, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-02-25 07:15:35, GET, /COL380/default/user/register, HTTP/1.1, 200, 0.215000
127.0.0.1, 2017-02-25 07:15:36, GET, /COL380/default/index, HTTP/1.1, 200, 0.080000
127.0.0.1, 2017-02-25 07:15:39, GET, /COL380/default/user/request_reset_password, HTTP/1.1, 200, 0.075000
127.0.0.1, 2017-02-25 07:15:42, POST, /COL380/default/user/request_reset_password, HTTP/1.1, 303, 0.264000
127.0.0.1, 2017-02-25 07:15:42, GET, /COL380/default/index, HTTP/1.1, 200, 0.121000
127.0.0.1, 2017-02-25 07:15:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096000
127.0.0.1, 2017-02-25 07:15:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.272000
127.0.0.1, 2017-02-25 07:16:28, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.146000
127.0.0.1, 2017-02-25 07:16:33, GET, /COL380/default/user/request_reset_password, HTTP/1.1, 200, 0.079000
127.0.0.1, 2017-02-25 07:16:37, POST, /COL380/default/user/request_reset_password, HTTP/1.1, 303, 1.954000
127.0.0.1, 2017-02-25 07:16:37, GET, /COL380/default/index, HTTP/1.1, 200, 0.074000
127.0.0.1, 2017-02-25 07:16:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085000
127.0.0.1, 2017-02-25 07:16:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.242000
127.0.0.1, 2017-02-25 07:17:24, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.064000
127.0.0.1, 2017-02-25 07:17:26, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-02-25 07:17:43, GET, /COL380/default/user/request_reset_password, HTTP/1.1, 200, 0.076000
